name_of_img,genre,species,sexe,family,1,2,3,4,8,12,14,9_11,5_13_15,6_7
Dicrurus_leucophaeus_2_M_Back_Vis_G146941.png,Dicrurus,dicrurus leucophaeus,M,dicruridae,63.9,6.3,3.7,0.0,0.0,0.0,26.1,0.0,0.0,0.0
Sylvia_boehmi_4_F_Back_Vis_G122870.png,Sylvia,sylvia boehmi,F,sylviidae,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dendrocopos_moluccensis_5_F_Back_Vis_Y074374.png,Dendrocopos,dendrocopos moluccensis,F,picidae,37.6,0.0,15.2,0.0,0.0,0.0,47.2,0.0,0.0,0.0
Carpodacus_pulcherrimus_5_F_Back_Vis_G095156.png,Carpodacus,carpodacus pulcherrimus,F,fringillidae,0.0,0.0,53.5,0.0,0.0,0.0,46.5,0.0,0.0,0.0
Penelopides_affinis_5_F_Back_Vis_G217084.png,Penelopides,penelopides affinis,F,bucerotidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larus_schistisagus_3_F_Back_Vis_Y095535.png,Larus,larus schistisagus,F,laridae,0.0,0.0,0.0,0.0,0.0,0.5,0.0,99.3,0.0,0.2
Ptilinopus_perousii_6_F_Back_Vis_G213259.png,Ptilinopus,ptilinopus perousii,F,columbidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batis_crypta_2_M_Back_Vis_G174761.png,Batis,batis crypta,M,platysteiridae,89.4,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aplonis_striata_4_F_Back_Vis_G109575.png,Aplonis,aplonis striata,F,sturnidae,88.1,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0
Padda_oryzivora_5_F_Back_Vis_G158750.png,Padda,padda oryzivora,F,estrildidae,0.0,32.6,15.1,1.7,0.0,0.0,50.7,0.0,0.0,0.0
Psittacula_eques_1_M_Back_Vis_Y051838.png,Psittacula,psittacula eques,M,psittacidae,99.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyanolyca_argentigula_3_M_Back_Vis_G127327.png,Cyanolyca,cyanolyca argentigula,M,corvidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mecocerculus_poecilocercus_5_F_Back_Vis_G046665.png,Mecocerculus,mecocerculus poecilocercus,F,tyrannidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spheniscus_humboldti_4_F_Back_Vis_G225604.png,Spheniscus,spheniscus humboldti,F,spheniscidae,0.0,0.0,0.0,0.0,2.5,0.2,0.0,97.3,0.0,0.0
Harpyhaliaetus_coronatus_1_M_Back_Vis_G221681.png,Harpyhaliaetus,harpyhaliaetus coronatus,M,accipitridae,62.0,25.6,0.0,0.0,0.0,0.0,11.7,0.0,0.7,0.0
