name_of_img,genre,species,sexe,family,1,2,3,4,8,12,14,9_11,5_13_15,6_7
Dicrurus_leucophaeus_2_M_Back_Vis_G146941.png,Dicrurus,dicrurus leucophaeus,M,dicruridae,63.9,6.3,3.7,0.0,0.0,0.0,26.1,0.0,0.0,0.0
Carpodacus_pulcherrimus_5_F_Back_Vis_G095156.png,Carpodacus,carpodacus pulcherrimus,F,fringillidae,0.0,0.0,53.5,0.0,0.0,0.0,46.5,0.0,0.0,0.0
Rhopophilus_pekinensis_2_M_Back_Vis_G148639.png,Rhopophilus,rhopophilus pekinensis,M,paradoxornithidae,0.0,0.0,66.0,33.5,0.0,0.0,0.0,0.0,0.0,0.5
Penelopides_affinis_5_F_Back_Vis_G217084.png,Penelopides,penelopides affinis,F,bucerotidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larus_schistisagus_3_F_Back_Vis_Y095535.png,Larus,larus schistisagus,F,laridae,0.0,0.0,0.0,0.0,0.0,0.5,0.0,99.3,0.0,0.2
Ptilinopus_perousii_6_F_Back_Vis_G213259.png,Ptilinopus,ptilinopus perousii,F,columbidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batis_crypta_2_M_Back_Vis_G174761.png,Batis,batis crypta,M,platysteiridae,89.4,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Padda_oryzivora_5_F_Back_Vis_G158750.png,Padda,padda oryzivora,F,estrildidae,0.0,32.6,15.1,1.7,0.0,0.0,50.7,0.0,0.0,0.0
Cyanolyca_argentigula_3_M_Back_Vis_G127327.png,Cyanolyca,cyanolyca argentigula,M,corvidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spheniscus_humboldti_4_F_Back_Vis_G225604.png,Spheniscus,spheniscus humboldti,F,spheniscidae,0.0,0.0,0.0,0.0,2.5,0.2,0.0,97.3,0.0,0.0
Vanellus_leucurus_6_F_Back_Vis_G196446.png,Vanellus,vanellus leucurus,F,charadriidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Cistothorus_platensis_5_F_Back_Vis_G072390.png,Cistothorus,cistothorus platensis,F,troglodytidae,0.0,5.6,0.0,46.3,0.0,0.0,37.1,0.0,11.0,0.0
Xenospiza_baileyi_1_M_Back_Vis_G246900.png,Xenospiza,xenospiza baileyi,M,passerellidae,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calidris_subminuta_1_M_Back_Vis_Y084703.png,Calidris,calidris subminuta,M,scolopacidae,0.0,0.0,16.3,83.7,0.0,0.0,0.0,0.0,0.0,0.0
Aenigmatolimnas_marginalis_3_M_Back_Vis_G203638.png,Aenigmatolimnas,aenigmatolimnas marginalis,M,rallidae,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,32.0,0.0
Galbalcyrhynchus_leucotis_2_M_Back_Vis_G177418.png,Galbalcyrhynchus,galbalcyrhynchus leucotis,M,galbulidae,86.9,0.0,0.0,0.0,0.0,0.0,5.5,0.0,7.6,0.0
Pitta_granatina_3_M_Back_Vis_G042731.png,Pitta,pitta granatina,M,pittidae,86.2,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0
Chaetura_brachyura_1_M_Back_Vis_G193343.png,Chaetura,chaetura brachyura,M,apodidae,74.9,0.0,10.9,0.0,0.0,0.0,14.2,0.0,0.0,0.0
Patagioenas_nigrirostris_5_F_Back_Vis_G212804.png,Patagioenas,patagioenas nigrirostris,F,columbidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinarocorys_erythropygia_5_F_Back_Vis_G085269.png,Pinarocorys,pinarocorys erythropygia,F,alaudidae,0.0,81.2,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0
Erythrura_prasina_2_M_Back_Vis_G157659.png,Erythrura,erythrura prasina,M,estrildidae,98.2,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pseudoleistes_virescens_6_F_Back_Vis_G056620.png,Pseudoleistes,pseudoleistes virescens,F,icteridae,0.0,0.0,0.0,0.0,0.0,0.0,53.8,0.0,46.2,0.0
Syrigma_sibilatrix_4_F_Back_Vis_G229270.png,Syrigma,syrigma sibilatrix,F,ardeidae,0.0,42.5,0.0,23.4,0.0,0.0,25.1,0.0,8.9,0.0
Lonchura_molucca_6_F_Back_Vis_G158327.png,Lonchura,lonchura molucca,F,estrildidae,54.6,0.0,9.3,0.5,0.0,0.0,35.6,0.0,0.0,0.0
Melignomon_zenkeri_5_F_Back_Vis_Y076793.png,Melignomon,melignomon zenkeri,F,indicatoridae,97.3,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0
