"sp_image";"sp_habitat";"order";"family";"sp_common";"sp_ebird"
"Siptornopsis hypochondriaca";"Synallaxis hypochondriaca";"PASSERIFORMES";"Furnariidae";"Great Spinetail";"Synallaxis hypochondriaca"
"Hypocnemoides melanopogon";"Hypocnemoides melanopogon";"PASSERIFORMES";"Thamnophilidae";"Black-chinned Antbird";"Hypocnemoides melanopogon"
"Pyrrhurus scandens";"Pyrrhurus scandens";"PASSERIFORMES";"Pycnonotidae";"Leaf-love";"Phyllastrephus scandens"
"Tregellasia capito";"Tregellasia capito";"PASSERIFORMES";"Petroicidae";"Pale-yellow Robin";"Eopsaltria capito"
"Certhionyx niger";"Sugomel nigrum";"PASSERIFORMES";"Meliphagidae";"Black Honeyeater";"Sugomel nigrum"
"Automolus leucophthalmus";"Automolus leucophthalmus";"PASSERIFORMES";"Furnariidae";"White-eyed Foliage-gleaner";"Automolus leucophthalmus"
"Charadrius marginatus";"Charadrius marginatus";"CHARADRIIFORMES";"Charadriidae";"White-fronted Plover";"Anarhynchus marginatus"
"Dendroica adelaidae";"Setophaga adelaidae";"PASSERIFORMES";"Parulidae";"Adelaide's Warbler";"Setophaga adelaidae"
"Rhopocichla atriceps";"Dumetia atriceps";"PASSERIFORMES";"Timaliidae";"Dark-fronted Babbler";"Dumetia atriceps"
"Oreolais pulchra";"Oreolais pulcher";"PASSERIFORMES";"Cisticolidae";"Black-collared Apalis";"Oreolais pulcher"
"Todiramphus australasia";"Todiramphus australasia";"CORACIIFORMES";"Alcedinidae";"Cinnamon-banded Kingfisher";"Todiramphus australasia"
"Patagioenas caribaea";"Patagioenas caribaea";"COLUMBIFORMES";"Columbidae";"Ring-tailed Pigeon";"Patagioenas caribaea"
"Garrulax erythrocephalus";"Trochalopteron erythrocephalum";"PASSERIFORMES";"Leiothrichidae";"Chestnut-crowned Laughingthrush";"Trochalopteron erythrocephalum"
"Erithacus komadori";"Larvivora komadori";"PASSERIFORMES";"Muscicapidae";"Ryukyu Robin";"Larvivora komadori"
"Falco severus";"Falco severus";"FALCONIFORMES";"Falconidae";"Oriental Hobby";"Falco severus"
"Malurus coronatus";"Malurus coronatus";"PASSERIFORMES";"Maluridae";"Purple-crowned Fairywren";"Malurus coronatus"
"Manorina melanocephala";"Manorina melanocephala";"PASSERIFORMES";"Meliphagidae";"Noisy Miner";"Manorina melanocephala"
"Megalurulus mariei";"Cincloramphus mariae";"PASSERIFORMES";"Locustellidae";"New Caledonian Thicketbird";"Cincloramphus mariae"
"Cacicus cela";"Cacicus cela";"PASSERIFORMES";"Icteridae";"Yellow-rumped Cacique";"Cacicus cela"
"Campephilus leucopogon";"Campephilus leucopogon";"PICIFORMES";"Picidae";"Cream-backed Woodpecker";"Campephilus leucopogon"
"Chaetura fumosa";"Chaetura fumosa";"CAPRIMULGIFORMES";"Apodidae";"Costa Rican Swift";"Chaetura fumosa"
"Aratinga canicularis";"Eupsittula canicularis";"PSITTACIFORMES";"Psittacidae";"Orange-fronted Parakeet";"Eupsittula canicularis"
"Taraba major";"Taraba major";"PASSERIFORMES";"Thamnophilidae";"Great Antshrike";"Taraba major"
"Pyrrhula leucogenis";"Pyrrhula leucogenis";"PASSERIFORMES";"Fringillidae";"White-cheeked Bullfinch";"Pyrrhula leucogenis"
"Meiglyptes tukki";"Meiglyptes tukki";"PICIFORMES";"Picidae";"Buff-necked Woodpecker";"Meiglyptes tukki"
"Anairetes nigrocristatus";"Anairetes nigrocristatus";"PASSERIFORMES";"Tyrannidae";"Black-crested Tit-tyrant";"Anairetes nigrocristatus"
"Pomatorhinus erythrogenys";"Erythrogenys erythrogenys";"PASSERIFORMES";"Timaliidae";"Rusty-cheeked Scimitar-babbler";"Erythrogenys erythrogenys"
"Otus flammeolus";"Psiloscops flammeolus";"STRIGIFORMES";"Strigidae";"Flammulated Owl";"Psiloscops flammeolus"
"Zosterops novaeguineae";"Zosterops novaeguineae";"PASSERIFORMES";"Zosteropidae";"New Guinea White-eye";"Zosterops novaeguineae"
"Sterna bergii";"Thalasseus bergii";"CHARADRIIFORMES";"Laridae";"Greater Crested Tern";"Thalasseus bergii"
"Rallina forbesi";"Rallicula forbesi";"GRUIFORMES";"Rallidae";"Forbes's Forest Rail";"Rallicula forbesi"
"Lonchura castaneothorax";"Lonchura castaneothorax";"PASSERIFORMES";"Estrildidae";"Chestnut-breasted Mannikin";"Lonchura castaneothorax"
"Melanerpes chrysauchen";"Melanerpes chrysauchen";"PICIFORMES";"Picidae";"Golden-naped Woodpecker";"Melanerpes chrysauchen"
"Callipepla douglasii";"Callipepla douglasii";"GALLIFORMES";"Odontophoridae";"Elegant Quail";"Callipepla douglasii"
"Falco novaeseelandiae";"Falco novaeseelandiae";"FALCONIFORMES";"Falconidae";"New Zealand Falcon";"Falco novaeseelandiae"
"Serinus frontalis";"Crithagra frontalis";"PASSERIFORMES";"Fringillidae";"Yellow-browed Citril";"Crithagra frontalis"
"Saltator maxillosus";"Saltator maxillosus";"PASSERIFORMES";"Thraupidae";"Thick-billed Saltator";"Saltator maxillosus"
"Corvus coronoides";"Corvus coronoides";"PASSERIFORMES";"Corvidae";"Australian Raven";"Corvus coronoides"
"Poecilotriccus plumbeiceps";"Poecilotriccus plumbeiceps";"PASSERIFORMES";"Tyrannidae";"Ochre-faced Tody-flycatcher";"Poecilotriccus plumbeiceps"
"Phylloscopus borealis";"Phylloscopus borealis";"PASSERIFORMES";"Phylloscopidae";"Arctic Warbler";"Phylloscopus borealis"
"Mergus squamatus";"Mergus squamatus";"ANSERIFORMES";"Anatidae";"Scaly-sided Merganser";"Mergus squamatus"
"Dacnis hartlaubi";"Dacnis hartlaubi";"PASSERIFORMES";"Thraupidae";"Turquoise Dacnis";"Dacnis hartlaubi"
"Nectarinia alinae";"Cyanomitra alinae";"PASSERIFORMES";"Nectariniidae";"Blue-headed Sunbird";"Cyanomitra alinae"
"Cinclocerthia gutturalis";"Cinclocerthia gutturalis";"PASSERIFORMES";"Mimidae";"Grey Trembler";"Cinclocerthia gutturalis"
"Garrulax yersini";"Trochalopteron yersini";"PASSERIFORMES";"Leiothrichidae";"Collared Laughingthrush";"Trochalopteron yersini"
"Cuculus optatus";"Cuculus optatus";"CUCULIFORMES";"Cuculidae";"Oriental Cuckoo";"Cuculus optatus"
"Buteo oreophilus";"Buteo oreophilus";"ACCIPITRIFORMES";"Accipitridae";"Mountain Buzzard";"Buteo oreophilus"
"Sitta tephronota";"Sitta tephronota";"PASSERIFORMES";"Sittidae";"Eastern Rock Nuthatch";"Sitta tephronota"
"Galerida deva";"Galerida deva";"PASSERIFORMES";"Alaudidae";"Sykes's Lark";"Galerida deva"
"Margarornis squamiger";"Margarornis squamiger";"PASSERIFORMES";"Furnariidae";"Pearled Treerunner";"Margarornis squamiger"
"Larus philadelphia";"Larus philadelphia";"CHARADRIIFORMES";"Laridae";"Bonaparte's Gull";"Chroicocephalus philadelphia"
"Rhipidura euryura";"Rhipidura euryura";"PASSERIFORMES";"Rhipiduridae";"White-bellied Fantail";"Rhipidura euryura"
"Nestor notabilis";"Nestor notabilis";"PSITTACIFORMES";"Strigopidae";"Kea";"Nestor notabilis"
"Zosterops hypoxanthus";"Zosterops hypoxanthus";"PASSERIFORMES";"Zosteropidae";"Bismarck White-eye";"Zosterops hypoxanthus"
"Nectarinia notata";"Cinnyris notatus";"PASSERIFORMES";"Nectariniidae";"Long-billed Sunbird";"Cinnyris notatus"
"Macrocephalon maleo";"Macrocephalon maleo";"GALLIFORMES";"Megapodiidae";"Maleo";"Macrocephalon maleo"
"Ardea sumatrana";"Ardea sumatrana";"PELECANIFORMES";"Ardeidae";"Great-billed Heron";"Ardea sumatrana"
"Myiarchus nuttingi";"Myiarchus nuttingi";"PASSERIFORMES";"Tyrannidae";"Nutting's Flycatcher";"Myiarchus nuttingi"
"Thripadectes virgaticeps";"Thripadectes virgaticeps";"PASSERIFORMES";"Furnariidae";"Streak-capped Treehunter";"Thripadectes virgaticeps"
"Bangsia arcaei";"Bangsia arcaei";"PASSERIFORMES";"Thraupidae";"Blue-and-gold Tanager";"Bangsia arcaei"
"Cercotrichas podobe";"Cercotrichas podobe";"PASSERIFORMES";"Muscicapidae";"Black Scrub-robin";"Cercotrichas podobe"
"Chordeiles gundlachii";"Chordeiles gundlachii";"CAPRIMULGIFORMES";"Caprimulgidae";"Antillean Nighthawk";"Chordeiles gundlachii"
"Hippolais rama";"Iduna rama";"PASSERIFORMES";"Acrocephalidae";"Sykes's Warbler";"Iduna rama"
"Certhia himalayana";"Certhia himalayana";"PASSERIFORMES";"Certhiidae";"Bar-tailed Treecreeper";"Certhia himalayana"
"Turdoides melanops";"Turdoides melanops";"PASSERIFORMES";"Leiothrichidae";"Black-faced Babbler";"Turdoides melanops"
"Orthotomus castaneiceps";"Orthotomus castaneiceps";"PASSERIFORMES";"Cisticolidae";"Chestnut-crowned Tailorbird";"Orthotomus castaneiceps"
"Fulica armillata";"Fulica armillata";"GRUIFORMES";"Rallidae";"Red-gartered Coot";"Fulica armillata"
"Vidua hypocherina";"Vidua hypocherina";"PASSERIFORMES";"Viduidae";"Steel-blue Whydah";"Vidua hypocherina"
"Orthotomus cinereiceps";"Orthotomus cinereiceps";"PASSERIFORMES";"Cisticolidae";"White-eared Tailorbird";"Orthotomus cinereiceps"
"Buteo rufofuscus";"Buteo rufofuscus";"ACCIPITRIFORMES";"Accipitridae";"Jackal Buzzard";"Buteo rufofuscus"
"Passer domesticus";"Passer domesticus";"PASSERIFORMES";"Passeridae";"House Sparrow";"Passer domesticus"
"Petronia xanthocollis";"Gymnoris xanthocollis";"PASSERIFORMES";"Passeridae";"Chestnut-shouldered Bush-sparrow";"Gymnoris xanthocollis"
"Alcippe castaneceps";"Schoeniparus castaneceps";"PASSERIFORMES";"Leiothrichidae";"Rufous-winged Fulvetta";"Schoeniparus castaneceps"
"Terpsiphone bourbonnensis";"Terpsiphone bourbonnensis";"PASSERIFORMES";"Monarchidae";"Mascarene Paradise-flycatcher";"Terpsiphone bourbonnensis"
"Amazona dufresniana";"Amazona dufresniana";"PSITTACIFORMES";"Psittacidae";"Blue-cheeked Amazon";"Amazona dufresniana"
"Wilsonia canadensis";"Cardellina canadensis";"PASSERIFORMES";"Parulidae";"Canada Warbler";"Cardellina canadensis"
"Caprimulgus clarus";"Caprimulgus clarus";"CAPRIMULGIFORMES";"Caprimulgidae";"Slender-tailed Nightjar";"Caprimulgus clarus"
"Lamprotornis hildebrandti";"Lamprotornis hildebrandti";"PASSERIFORMES";"Sturnidae";"Hildebrandt's Starling";"Lamprotornis hildebrandti"
"Dinopium javanense";"Dinopium javanense";"PICIFORMES";"Picidae";"Common Flameback";"Dinopium javanense"
"Pipra fasciicauda";"Pipra fasciicauda";"PASSERIFORMES";"Pipridae";"Band-tailed Manakin";"Pipra fasciicauda"
"Tityra cayana";"Tityra cayana";"PASSERIFORMES";"Tityridae";"Western Black-tailed Tityra";"Tityra cayana"
"Emberiza citrinella";"Emberiza citrinella";"PASSERIFORMES";"Emberizidae";"Yellowhammer";"Emberiza citrinella"
"Amazona vinacea";"Amazona vinacea";"PSITTACIFORMES";"Psittacidae";"Vinaceous-breasted Amazon";"Amazona vinacea"
"Vidua regia";"Vidua regia";"PASSERIFORMES";"Viduidae";"Shaft-tailed Whydah";"Vidua regia"
"Napothera crassa";"Gypsophila crassa";"PASSERIFORMES";"Pellorneidae";"Mountain Wren-babbler";"Gypsophila crassa"
"Aethopyga bella";"Aethopyga bella";"PASSERIFORMES";"Nectariniidae";"Handsome Sunbird";"Aethopyga bella"
"Calyptorhynchus banksii";"Calyptorhynchus banksii";"PSITTACIFORMES";"Cacatuidae";"Red-tailed Black-cockatoo";"Calyptorhynchus banksii"
"Laniarius erythrogaster";"Laniarius erythrogaster";"PASSERIFORMES";"Malaconotidae";"Black-headed Gonolek";"Laniarius erythrogaster"
"Anthus godlewskii";"Anthus godlewskii";"PASSERIFORMES";"Motacillidae";"Blyth's Pipit";"Anthus godlewskii"
"Phaethornis striigularis";"Phaethornis striigularis";"CAPRIMULGIFORMES";"Trochilidae";"Stripe-throated Hermit";"Phaethornis striigularis"
"Oriolus brachyrhynchus";"Oriolus brachyrynchus";"PASSERIFORMES";"Oriolidae";"Western Black-headed Oriole";"Oriolus brachyrynchus"
"Thalassoica antarctica";"Thalassoica antarctica";"PROCELLARIIFORMES";"Procellariidae";"Antarctic Petrel";"Thalassoica antarctica"
"Zosterops grayi";"Zosterops grayi";"PASSERIFORMES";"Zosteropidae";"Kai Besar White-eye";"Zosterops grayi"
"Macronyx aurantiigula";"Macronyx aurantiigula";"PASSERIFORMES";"Motacillidae";"Pangani Longclaw";"Macronyx aurantiigula"
"Lepidocolaptes squamatus";"Lepidocolaptes squamatus";"PASSERIFORMES";"Furnariidae";"Scaled Woodcreeper";"Lepidocolaptes squamatus"
"Sicalis auriventris";"Sicalis auriventris";"PASSERIFORMES";"Thraupidae";"Greater Yellow-finch";"Sicalis auriventris"
"Gyps himalayensis";"Gyps himalayensis";"ACCIPITRIFORMES";"Accipitridae";"Himalayan Griffon";"Gyps himalayensis"
"Ammodramus nelsoni";"Ammospiza nelsoni";"PASSERIFORMES";"Passerellidae";"Nelson's Sparrow";"Ammospiza nelsoni"
"Geopelia placida";"Geopelia placida";"COLUMBIFORMES";"Columbidae";"Peaceful Dove";"Geopelia placida"
"Prionops gabela";"Prionops gabela";"PASSERIFORMES";"Vangidae";"Gabela Helmetshrike";"Prionops gabela"
"Pachyptila crassirostris";"Pachyptila crassirostris";"PROCELLARIIFORMES";"Procellariidae";"Fulmar Prion";"Pachyptila crassirostris"
"Myophonus glaucinus";"Myophonus glaucinus";"PASSERIFORMES";"Muscicapidae";"Javan Whistling-thrush";"Myophonus glaucinus"
"Hirundo ariel";"Petrochelidon ariel";"PASSERIFORMES";"Hirundinidae";"Fairy Martin";"Petrochelidon ariel"
"Alaemon alaudipes";"Alaemon alaudipes";"PASSERIFORMES";"Alaudidae";"Greater Hoopoe-lark";"Alaemon alaudipes"
"Plegadis chihi";"Plegadis chihi";"PELECANIFORMES";"Threskiornithidae";"White-faced Ibis";"Plegadis chihi"
"Pycnonotus striatus";"Alcurus striatus";"PASSERIFORMES";"Pycnonotidae";"Striated Bulbul";"Alcurus striatus"
"Anorrhinus galeritus";"Anorrhinus galeritus";"BUCEROTIFORMES";"Bucerotidae";"Bushy-crested Hornbill";"Anorrhinus galeritus"
"Amaurornis akool";"Zapornia akool";"GRUIFORMES";"Rallidae";"Brown Crake";"Zapornia akool"
"Cephalopterus glabricollis";"Cephalopterus glabricollis";"PASSERIFORMES";"Cotingidae";"Bare-necked Umbrellabird";"Cephalopterus glabricollis"
"Oreophasis derbianus";"Oreophasis derbianus";"GALLIFORMES";"Cracidae";"Horned Guan";"Oreophasis derbianus"
"Rhipidura kubaryi";"Rhipidura kubaryi";"PASSERIFORMES";"Rhipiduridae";"Pohnpei Fantail";"Rhipidura kubaryi"
"Ifrita kowaldi";"Ifrita kowaldi";"PASSERIFORMES";"Ifritidae";"Blue-capped Ifrit";"Ifrita kowaldi"
"Xenops minutus";"Xenops minutus";"PASSERIFORMES";"Furnariidae";"White-throated Xenops";"Xenops minutus"
"Malcorus pectoralis";"Malcorus pectoralis";"PASSERIFORMES";"Cisticolidae";"Rufous-eared Warbler";"Malcorus pectoralis"
"Caprimulgus indicus";"Caprimulgus indicus";"CAPRIMULGIFORMES";"Caprimulgidae";"Jungle Nightjar";"Caprimulgus indicus"
"Hemignathus kauaiensis";"Chlorodrepanis stejnegeri";"PASSERIFORMES";"Fringillidae";"Kauai Amakihi";"Chlorodrepanis stejnegeri"
"Pitta guajana";"Hydrornis guajanus";"PASSERIFORMES";"Pittidae";"Javan Banded Pitta";"Hydrornis guajanus"
"Sitta pygmaea";"Sitta pygmaea";"PASSERIFORMES";"Sittidae";"Pygmy Nuthatch";"Sitta pygmaea"
"Veniliornis passerinus";"Veniliornis passerinus";"PICIFORMES";"Picidae";"Little Woodpecker";"Dryobates passerinus"
"Lybius melanopterus";"Pogonornis melanopterus";"PICIFORMES";"Lybiidae";"Brown-breasted Barbet";"Pogonornis melanopterus"
"Phoenicurus erythrogastrus";"Phoenicurus erythrogastrus";"PASSERIFORMES";"Muscicapidae";"White-winged Redstart";"Phoenicurus erythrogastrus"
"Prionops caniceps";"Prionops caniceps";"PASSERIFORMES";"Vangidae";"Red-billed Helmetshrike";"Prionops caniceps"
"Ploceus spekeoides";"Ploceus spekeoides";"PASSERIFORMES";"Ploceidae";"Fox's Weaver";"Ploceus spekeoides"
"Aythya novaeseelandiae";"Aythya novaeseelandiae";"ANSERIFORMES";"Anatidae";"New Zealand Scaup";"Aythya novaeseelandiae"
"Polyplectron napoleonis";"Polyplectron napoleonis";"GALLIFORMES";"Phasianidae";"Palawan Peacock-Pheasant";"Polyplectron napoleonis"
"Coeligena iris";"Coeligena iris";"CAPRIMULGIFORMES";"Trochilidae";"Rainbow Starfrontlet";"Coeligena iris"
"Aquila gurneyi";"Aquila gurneyi";"ACCIPITRIFORMES";"Accipitridae";"Gurney's Eagle";"Aquila gurneyi"
"Margarops fuscus";"Allenia fusca";"PASSERIFORMES";"Mimidae";"Scaly-breasted Thrasher";"Allenia fusca"
"Turdoides bicolor";"Turdoides bicolor";"PASSERIFORMES";"Leiothrichidae";"Southern Pied Babbler";"Turdoides bicolor"
"Pica hudsonia";"Pica hudsonia";"PASSERIFORMES";"Corvidae";"Black-billed Magpie";"Pica hudsonia"
"Zoothera camaronensis";"Geokichla camaronensis";"PASSERIFORMES";"Turdidae";"Black-eared Ground-thrush";"Geokichla camaronensis"
"Phoenicopterus ruber";"Phoenicopterus ruber";"PHOENICOPTERIFORMES";"Phoenicopteridae";"American Flamingo";"Phoenicopterus ruber"
"Spizella arborea";"Passerella arborea";"PASSERIFORMES";"Passerellidae";"American Tree Sparrow";"Spizelloides arborea"
"Eulabeornis castaneoventris";"Eulabeornis castaneoventris";"GRUIFORMES";"Rallidae";"Chestnut Rail";"Gallirallus castaneoventris"
"Dendropicos stierlingi";"Dendropicos stierlingi";"PICIFORMES";"Picidae";"Stierling's Woodpecker";"Dendropicos stierlingi"
"Synallaxis tithys";"Synallaxis tithys";"PASSERIFORMES";"Furnariidae";"Blackish-headed Spinetail";"Synallaxis tithys"
"Knipolegus cyanirostris";"Knipolegus cyanirostris";"PASSERIFORMES";"Tyrannidae";"Blue-billed Black-tyrant";"Knipolegus cyanirostris"
"Eurynorhynchus pygmeus";"Calidris pygmaea";"CHARADRIIFORMES";"Scolopacidae";"Spoon-billed Sandpiper";"Calidris pygmaea"
"Piaya melanogaster";"Piaya melanogaster";"CUCULIFORMES";"Cuculidae";"Black-bellied Cuckoo";"Piaya melanogaster"
"Elaenia obscura";"Elaenia obscura";"PASSERIFORMES";"Tyrannidae";"Highland Elaenia";"Elaenia obscura"
"Galerida magnirostris";"Galerida magnirostris";"PASSERIFORMES";"Alaudidae";"Large-billed Lark";"Galerida magnirostris"
"Nectarinia dussumieri";"Cinnyris dussumieri";"PASSERIFORMES";"Nectariniidae";"Seychelles Sunbird";"Cinnyris dussumieri"
"Rhipidura hyperythra";"Rhipidura hyperythra";"PASSERIFORMES";"Rhipiduridae";"Chestnut-bellied Fantail";"Rhipidura hyperythra"
"Geotrygon albifacies";"Zentrygon albifacies";"COLUMBIFORMES";"Columbidae";"White-faced Quail-Dove";"Zentrygon albifacies"
"Taoniscus nanus";"Taoniscus nanus";"STRUTHIONIFORMES";"Tinamidae";"Dwarf Tinamou";"Taoniscus nanus"
